Product,Site,Price,Price per 100ml,URL
Medik8 Sleep Glycolic,sweetcare.pt,44.21,,https://www.sweetcare.pt/pt/medik8-exfoliation-cleansing-sleep-glycolic-at-home-peel-noturno-p-017678kd
Medik8 Sleep Glycolic,notino.pt,44.80,,https://www.notino.pt/medik8/sleep-glycolic-peeling-enzimatico-com-acido-glicolico-para-a-noite/
Medik8 Sleep Glycolic,blinkshop.com,48.26,,https://www.blinkshop.com/medik8-sleep-glycolic-peeling-noturno-esfoliante-30ml
Medik8 Sleep Glycolic,farmacia365.pt,48.60,,https://www.farmacia365.pt/medik8-sleep-glycolic-creme-30ml
Medik8 Super Ferrulic,sabina.com,70.25,,https://www.sabina.com/pt/cosmetica-facial-mulher/19591-medik8-super-c-ferulic-30-ml.html
Medik8 Super Ferrulic,sweetcare.pt,76.70,,https://www.sweetcare.pt/pt/medik8-vitamin-c-super-c-ferulic-serum-vitamina-c-p-017624kd?st=01
Medik8 Super Ferrulic,notino.pt,77.90,,https://www.notino.pt/medik8/super-c-ferulic-serum-antioxidante-com-vitamina-c
Medik8 Super Ferrulic,aveirofarma.pt,80.34,,https://aveirofarma.pt/medik8-super-c-ferulic-serum-iluminador-30ml
Medik8 Super Ferrulic,farmacia365.pt,84.25,,https://www.farmacia365.pt/medik8-super-c-ferulic-serum-30ml
Medik8 Super Ferrulic,skin.pt,85.01,,https://skin.pt/medik8-super-c-ferulic-serum-iluminador-30ml
Medik8 Super Ferrulic,atida.com,87.00,,https://www.atida.com/pt-pt/medik8-super-c-ferulic-30-ml
Paradontax (500ml),wells.pt,8.23,1.65,https://wells.pt/elixir-cuidado-gengivas-7712480.html
Paradontax gums (500ml),wells.pt,7.19,1.44,https://wells.pt/elixir-cuidado-gengivas-7009519.html
Paradontax gums (500ml),atida.com,8.99,1.80,https://www.atida.com/pt-pt/parodontax-colutorio-complete-protection-500-ml
Paradontax gums (500ml),atida.com,8.99,1.80,https://www.atida.com/pt-pt/parodontax-fortalece-e-protege-enxaguante-bucal-500-ml
Paradontax pasta (2x75ml),farmacia365.pt,6.50,4.33,https://www.farmacia365.pt/parodontax-extra-fresh-pasta-2x75ml-70-2aunidade
Paradontax pasta (2x75ml),wells.pt,7.99,5.33,https://wells.pt/pasta-de-dentes-parodontax-original-7753557.html
Paradontax pasta (2x75ml),atida.com,9.99,6.66,https://www.atida.com/pt-pt/parodontax-pasta-de-dentes-complete-protection-gengivas-2x75-ml
Paradontax pasta (75ml),farmacentral.pt,5.27,7.03,https://farmacentral.pt/pt/artigo/parodontax-original-gengivas-pasta-dentifrica-75ml
Paradontax pasta (75ml),atida.com,6.99,9.32,https://www.atida.com/pt-pt/parodontax-extra-fresh-complete-protection-75ml
Paradontax pasta (75ml),atida.com,6.99,9.32,https://www.atida.com/pt-pt/parodontax-fortalece-e-protege-creme-dental-75-ml
